km_driven,mileage,engine,max_power,seats,no. of years,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
50000,16.0,1997.0,140.0,7,5,1,0,0,1,0,1,0,0,0,0
21000,12.83,1999.0,148.31,7,2,1,0,0,0,0,0,0,0,0,0
25000,23.84,1199.0,84.0,5,3,0,0,1,1,0,1,0,0,0,0
40000,16.8,1405.0,62.0,5,17,1,0,0,1,0,1,0,1,0,0
11000,14.3,1598.0,103.5,5,5,0,0,1,0,0,0,0,0,0,0
50856,26.0,1498.0,98.6,5,5,1,0,0,0,0,1,0,0,0,0
20000,18.6,1197.0,85.8,5,10,0,0,1,1,0,1,0,1,0,0
60000,15.4,2523.0,75.0,7,3,1,0,0,1,0,1,0,0,0,0
25000,25.17,799.0,53.3,5,2,0,0,1,1,0,1,0,0,0,0
80000,23.9,1582.0,126.2,5,6,1,0,0,1,0,1,0,1,0,0
66000,20.77,1248.0,88.8,7,5,1,0,0,0,0,1,0,0,0,0
11000,14.3,1598.0,103.5,5,5,0,0,1,0,0,0,0,0,0,0
80000,12.99,2494.0,100.6,7,8,1,0,0,1,0,1,0,1,0,0
15000,20.0,1497.0,115.0,5,2,1,0,0,1,0,1,0,0,0,0
52269,15.4,2179.0,120.0,7,6,1,0,0,1,0,1,0,0,0,0
120000,13.68,2393.0,147.8,8,5,1,0,0,1,0,1,0,0,0,0
5000,20.14,1197.0,81.86,5,4,0,0,1,1,0,1,0,0,0,0
40000,23.1,998.0,67.04,5,6,0,0,1,1,0,1,0,1,0,0
70000,25.0,1396.0,69.0,5,8,1,0,0,1,0,1,0,0,0,0
30000,23.1,998.0,67.04,5,4,0,0,1,1,0,0,0,1,0,0
70000,19.01,1461.0,108.5,5,6,1,0,0,1,0,1,0,0,0,0
78000,15.4,1997.0,120.0,7,13,1,0,0,0,0,1,0,0,0,0
120000,14.84,2143.0,170.0,5,13,1,0,0,1,0,0,0,1,0,0
46000,11.45,2776.0,197.2,7,5,1,0,0,0,0,0,0,1,0,0
29000,18.15,1198.0,82.0,6,4,0,0,1,1,0,1,0,0,0,0
14000,19.1,1197.0,82.0,5,4,0,0,1,1,0,1,0,0,0,0
50000,14.24,2755.0,174.5,7,3,1,0,0,1,0,1,0,0,0,0
100000,13.6,2523.0,63.0,7,10,1,0,0,1,0,1,0,1,0,0
50000,14.67,1798.0,177.46,5,3,0,0,1,0,0,0,0,0,0,0
80000,22.07,1199.0,73.9,5,8,1,0,0,1,0,1,0,1,0,0
79328,12.99,2494.0,100.6,7,8,1,0,0,0,1,1,0,1,0,0
225000,12.99,2494.0,100.0,8,9,1,0,0,1,0,1,0,1,0,0
30000,18.6,1197.0,81.83,5,4,0,0,1,1,0,1,0,0,0,0
32000,16.1,796.0,37.0,4,25,0,0,1,1,0,1,0,1,0,0
8500,16.78,1995.0,190.0,5,2,1,0,0,0,0,0,0,0,0,0
147000,26.59,1248.0,74.0,5,6,1,0,0,1,0,1,0,1,0,0
110000,13.68,2393.0,147.8,7,5,1,0,0,1,0,1,0,0,0,0
120000,13.6,2523.0,63.0,7,10,1,0,0,1,0,1,0,1,0,0
114000,25.2,1248.0,73.94,5,6,1,0,0,0,0,1,0,0,0,0
60000,22.77,1498.0,98.59,5,4,1,0,0,1,0,1,0,0,0,0
50000,18.9,1197.0,81.86,5,4,0,0,1,1,0,1,0,0,0,0
190000,17.8,1248.0,75.0,5,11,1,0,0,1,0,1,0,1,0,0
60000,23.9,624.0,37.48,4,6,0,0,1,1,0,1,0,0,0,0
80000,20.4,1248.0,91.2,5,11,1,0,0,1,0,1,0,1,0,0
120000,15.4,1497.0,117.3,7,4,0,0,1,1,0,1,0,0,0,0
45000,19.1,1405.0,70.0,5,7,1,0,0,1,0,1,0,0,0,0
25000,18.6,1197.0,81.83,5,4,0,0,1,1,0,1,0,0,0,0
100000,18.9,1061.0,67.0,5,14,0,0,1,1,0,1,0,0,0,1
90000,19.0,998.0,66.1,5,10,0,0,1,1,0,1,0,1,0,0
100000,17.5,1298.0,85.8,5,13,0,0,1,1,0,1,0,0,0,0
100000,13.68,2393.0,147.8,7,5,1,0,0,0,0,1,0,0,0,0
60000,21.1,814.0,55.2,5,6,0,0,1,1,0,1,0,1,0,0
70000,21.64,1461.0,84.8,5,9,1,0,0,1,0,1,0,1,0,0
98000,20.36,1197.0,78.9,5,13,0,0,1,1,0,1,0,0,0,1
120000,24.5,1498.0,98.6,7,6,1,0,0,1,0,1,0,1,0,0
33000,19.4,1194.0,94.93,5,2,0,0,1,0,0,1,0,0,0,0
90000,28.4,1248.0,74.0,5,3,1,0,0,1,0,0,0,0,0,0
15000,22.1,1396.0,88.7,5,2,1,0,0,1,0,1,0,0,0,0
42323,21.19,1396.0,88.76,5,5,1,0,0,0,0,1,0,0,0,0
120000,20.54,1598.0,103.6,5,11,1,0,0,1,0,1,0,0,0,1
49000,18.5,1197.0,80.0,5,11,0,0,1,1,0,1,0,0,0,0
85000,13.45,1086.0,62.1,5,6,0,1,0,1,0,1,0,0,0,0
55380,18.9,1197.0,82.0,5,6,0,0,1,0,0,1,0,0,0,0
50000,23.4,1248.0,74.0,5,7,1,0,0,1,0,1,0,0,0,0
50000,25.44,936.0,57.6,5,8,1,0,0,1,0,1,0,0,0,0
85000,15.6,1196.0,70.0,5,9,0,0,1,1,0,1,0,1,0,0
70000,13.6,2523.0,63.0,8,12,1,0,0,1,0,1,0,1,0,0
40000,19.7,796.0,46.3,5,10,0,0,1,1,0,1,0,0,0,1
80000,24.52,1248.0,88.5,7,4,1,0,0,1,0,1,0,0,0,0
60000,16.36,2179.0,187.7,5,8,1,0,0,1,0,0,0,0,0,0
100000,11.5,2982.0,171.0,7,11,1,0,0,1,0,1,0,0,0,0
120000,15.96,2523.0,62.1,7,9,1,0,0,1,0,1,0,0,0,0
120000,16.8,1493.0,110.0,5,15,1,0,0,1,0,1,0,1,0,0
76000,25.8,1498.0,98.6,5,7,1,0,0,1,0,1,0,0,0,0
75958,17.88,1396.0,52.8,5,14,1,0,0,1,0,1,0,1,0,0
67000,28.4,1248.0,74.0,5,8,1,0,0,0,0,1,0,1,0,0
100000,25.2,1248.0,74.0,5,5,1,0,0,1,0,1,0,0,0,0
5000,17.0,1198.0,108.5,5,1,0,0,1,1,0,0,0,0,0,0
10000,21.94,1196.0,61.7,5,2,0,0,0,1,0,1,0,0,0,0
45000,19.7,796.0,46.3,5,16,0,0,1,1,0,1,0,1,0,0
206000,22.77,1498.0,98.59,5,6,1,0,0,0,0,1,0,0,0,0
110000,23.08,1461.0,63.12,5,9,1,0,0,1,0,1,0,1,0,0
80000,17.8,1399.0,68.0,5,10,1,0,0,1,0,1,0,0,0,1
140000,20.77,1248.0,88.76,7,9,1,0,0,1,0,1,0,0,0,0
23712,28.09,1248.0,88.5,5,3,1,0,0,0,1,1,0,0,0,0
70000,18.9,1197.0,82.0,5,5,0,0,1,1,0,1,0,0,0,0
90000,17.2,1968.0,138.1,5,8,1,0,0,1,0,0,0,0,0,0
90000,21.9,1396.0,88.76,5,9,1,0,0,1,0,1,0,1,0,0
30000,12.62,2198.0,158.0,7,5,1,0,0,1,0,0,0,0,0,0
25000,20.36,1197.0,78.9,5,9,0,0,1,1,0,1,0,0,0,0
20000,21.5,1497.0,108.5,5,3,1,0,0,1,0,1,0,0,0,0
35000,16.1,796.0,37.0,4,20,0,0,1,1,0,1,0,0,0,1
110000,22.9,1248.0,74.0,5,9,1,0,0,1,0,1,0,0,0,1
120000,22.7,1582.0,126.24,5,8,1,0,0,1,0,1,0,0,0,0
90000,19.7,796.0,46.3,5,11,0,0,1,1,0,1,0,0,0,1
59000,16.1,796.0,37.0,4,15,0,0,1,1,0,1,0,1,0,0
50000,15.4,1997.0,120.0,7,5,1,0,0,1,0,1,0,0,0,0
35000,23.9,1582.0,126.2,5,4,1,0,0,1,0,1,0,0,0,0
170000,12.99,2494.0,100.6,7,6,1,0,0,1,0,1,0,0,0,0
70000,17.7,1497.0,78.0,5,15,0,0,1,1,0,1,0,1,0,0
80000,21.66,1498.0,108.62,5,4,1,0,0,1,0,1,0,0,0,0
65000,21.04,1461.0,83.8,7,4,1,0,0,1,0,1,0,1,0,0
80000,12.05,2179.0,120.0,8,8,1,0,0,1,0,1,0,1,0,0
72500,23.3,1984.0,150.0,5,8,1,0,0,1,0,0,0,1,0,0
110000,26.59,1248.0,74.0,5,6,1,0,0,1,0,1,0,0,0,0
79328,12.99,2494.0,100.6,7,8,1,0,0,0,1,1,0,1,0,0
110000,17.8,1399.0,68.0,5,14,1,0,0,1,0,1,0,0,0,1
90000,21.4,1586.0,103.3,5,11,0,0,0,1,0,1,0,1,0,0
5000,21.01,1197.0,81.8,5,1,0,0,1,1,0,1,0,0,0,0
70000,26.0,1498.0,98.6,5,7,1,0,0,1,0,1,0,0,0,0
18000,15.04,1991.0,183.0,5,3,0,0,1,0,0,0,0,0,0,0
20000,24.0,1396.0,88.76,5,2,1,0,0,1,0,1,0,0,0,0
30000,18.6,1197.0,81.83,5,4,0,0,1,1,0,1,0,1,0,0
80000,18.9,1061.0,67.0,5,11,0,0,1,1,0,1,0,1,0,0
90000,19.3,1248.0,73.9,5,9,1,0,0,1,0,1,0,0,0,1
120000,13.2,1495.0,94.0,5,16,0,0,1,1,0,1,0,0,0,0
5000,20.63,1198.0,67.0,5,3,0,0,1,1,0,1,0,1,0,0
20000,17.5,1373.0,91.1,7,5,0,0,1,1,0,1,0,0,0,0
38817,27.39,1248.0,74.0,5,3,1,0,0,0,0,1,0,0,0,0
25000,20.73,1373.0,91.1,5,3,0,0,1,1,0,1,0,0,0,0
120000,19.09,1396.0,69.0,5,9,1,0,0,1,0,1,0,1,0,0
70000,19.7,796.0,46.3,5,12,0,0,1,1,0,1,0,1,0,0
40000,18.9,998.0,67.1,5,9,0,0,1,1,0,1,0,0,0,0
110000,20.77,1248.0,88.76,7,6,1,0,0,1,0,1,0,0,0,1
100000,22.1,1248.0,76.9,5,8,1,0,0,1,0,1,0,1,0,0
120000,12.05,2179.0,120.0,7,12,1,0,0,1,0,1,0,1,0,0
80000,17.0,1497.0,118.0,5,10,0,0,1,1,0,1,0,0,0,1
79328,12.99,2494.0,100.6,7,8,1,0,0,0,1,1,0,1,0,0
70000,21.5,1497.0,108.5,5,4,1,0,0,1,0,1,0,0,0,0
150000,18.7,1896.0,66.0,5,15,1,0,0,1,0,1,0,0,0,1
90000,23.95,998.0,67.05,5,7,0,0,1,1,0,1,0,1,0,0
35000,23.03,1396.0,69.0,5,9,1,0,0,1,0,1,0,0,0,0
41000,18.7,1199.0,88.7,5,5,0,0,1,1,0,1,0,0,0,0
90000,19.09,1405.0,69.01,5,5,1,0,0,1,0,1,0,0,0,0
8500,16.78,1995.0,190.0,5,2,1,0,0,0,0,0,0,0,0,0
105000,21.7,1498.0,98.96,5,7,1,0,0,0,0,1,0,0,0,0
50000,26.59,1248.0,74.0,5,4,1,0,0,1,0,1,0,0,0,0
60000,16.6,1197.0,85.0,5,14,0,0,1,1,0,1,0,0,0,0
120000,13.6,2523.0,63.0,7,13,1,0,0,1,0,1,0,1,0,0
60000,18.9,1197.0,82.0,5,7,0,0,1,1,0,1,0,1,0,0
45900,18.6,1197.0,81.83,5,6,0,0,1,1,0,1,0,1,0,0
120000,25.32,1198.0,77.0,6,5,1,0,0,1,0,1,0,0,0,0
80000,20.51,998.0,67.04,5,5,0,0,1,1,0,1,0,0,0,0
30000,18.9,1197.0,82.0,5,5,0,0,1,1,0,1,0,0,0,0
68089,19.16,2494.0,157.7,5,5,0,0,1,0,1,0,0,0,0,0
7500,16.78,1995.0,190.0,5,2,1,0,0,0,0,0,0,0,0,0
30000,23.95,998.0,67.05,5,4,0,0,1,1,0,1,0,0,0,0
32000,24.7,796.0,47.3,5,5,0,0,1,0,0,1,0,0,0,0
58343,21.79,998.0,67.05,5,8,0,0,1,0,1,1,0,0,0,0
97000,22.9,1248.0,74.0,5,9,1,0,0,1,0,1,0,0,0,1
20000,19.81,1086.0,68.05,5,6,0,0,1,1,0,1,0,0,0,0
37000,26.8,1248.0,74.0,5,4,1,0,0,1,0,0,0,0,0,0
60000,16.55,1968.0,147.51,5,7,1,0,0,1,0,0,0,0,0,0
30000,25.6,1498.0,97.9,5,4,1,0,0,1,0,1,0,0,0,0
22000,17.8,1497.0,117.3,5,5,0,0,1,1,0,1,0,0,0,0
150000,19.09,1396.0,69.0,5,9,1,0,0,1,0,1,0,0,0,1
20000,20.4,1197.0,81.8,5,5,0,0,1,1,0,1,0,0,0,0
100000,18.49,1493.0,100.0,7,5,1,0,0,1,0,1,0,0,0,0
33000,14.7,1798.0,177.5,5,4,0,0,1,0,0,0,0,1,0,0
67600,14.81,1998.0,163.7,5,5,1,0,0,1,0,0,0,0,0,0
90000,11.57,2179.0,138.1,7,9,1,0,0,1,0,1,0,0,0,1
80000,13.45,1086.0,62.1,5,11,0,1,0,1,0,1,0,1,0,0
79328,12.99,2494.0,100.6,7,8,1,0,0,0,1,1,0,1,0,0
51500,25.17,799.0,53.3,5,5,0,0,1,1,0,1,0,0,0,0
100000,26.59,1248.0,74.0,5,6,1,0,0,1,0,1,0,0,0,0
30000,20.51,998.0,67.0,5,3,0,0,1,1,0,0,0,0,0,0
58343,21.79,998.0,67.05,5,8,0,0,1,0,1,1,0,0,0,0
35000,22.54,1396.0,88.73,5,5,1,0,0,1,0,1,0,0,0,0
70000,24.3,1248.0,88.5,5,4,1,0,0,1,0,1,0,0,0,0
11000,14.3,1598.0,103.5,5,5,0,0,1,0,0,0,0,0,0,0
39000,14.28,1798.0,138.03,5,8,0,0,1,0,0,0,0,0,0,0
15000,19.81,1086.0,68.05,5,5,0,0,1,1,0,1,0,0,0,0
110000,23.4,1248.0,74.0,5,8,1,0,0,1,0,1,0,0,0,0
140000,18.88,1995.0,184.0,5,9,1,0,0,1,0,0,0,1,0,0
68519,16.2,995.0,62.1,5,10,0,0,1,0,0,1,0,0,0,0
125000,21.43,1364.0,87.2,5,9,1,0,0,1,0,1,0,1,0,0
168000,12.8,2494.0,102.0,7,10,1,0,0,1,0,1,0,1,0,0
90000,23.0,1396.0,90.0,5,11,1,0,0,1,0,1,0,1,0,0
79139,18.5,1197.0,85.8,5,8,0,0,1,0,0,1,0,0,0,0
5000,18.24,999.0,108.6,5,1,0,0,1,1,0,1,0,0,0,0
110000,13.6,2523.0,63.0,7,12,1,0,0,1,0,1,0,0,0,0
100000,15.37,1196.0,73.0,7,5,0,0,1,1,0,1,0,0,0,1
10000,21.4,1197.0,83.1,5,4,0,0,1,1,0,0,0,0,0,0
100000,23.0,1396.0,90.0,5,9,1,0,0,1,0,1,0,1,0,0
200000,17.0,1405.0,71.0,5,10,1,0,0,1,0,1,0,1,0,0
119000,16.52,1991.0,123.7,5,10,1,0,0,1,0,1,0,1,0,0
70000,20.54,1598.0,103.6,5,10,1,0,0,1,0,1,0,1,0,0
80000,16.2,1493.0,110.0,5,11,1,0,0,1,0,1,0,1,0,0
50000,26.59,1248.0,74.0,5,6,1,0,0,1,0,1,0,0,0,0
13500,23.84,1199.0,84.0,5,5,0,0,1,1,0,1,0,0,0,0
80000,15.96,2523.0,63.0,9,5,1,0,0,1,0,1,0,1,0,0
33000,20.14,1498.0,88.8,5,6,1,0,0,1,0,1,0,0,0,0
17000,15.0,1991.0,194.4,5,2,0,0,1,0,0,0,0,0,0,0
20000,23.01,999.0,67.0,5,4,0,0,1,1,0,1,0,0,0,0
120000,18.8,1248.0,90.0,5,11,1,0,0,1,0,1,0,0,0,0
30000,17.3,993.0,60.0,5,19,0,0,1,1,0,1,0,0,0,1
45000,18.5,1198.0,86.8,5,9,0,0,1,0,0,1,0,0,0,0
38817,27.39,1248.0,74.0,5,3,1,0,0,0,0,1,0,0,0,0
51000,14.74,2993.0,270.9,5,7,1,0,0,1,0,0,0,0,0,0
188000,19.01,1461.0,108.45,5,7,1,0,0,1,0,1,0,1,0,0
100000,22.54,1396.0,88.73,5,6,1,0,0,1,0,1,0,0,0,0
60000,25.44,936.0,56.3,5,5,1,0,0,1,0,1,0,1,0,0
65000,12.07,2967.0,241.4,7,7,1,0,0,1,0,0,0,0,0,0
58343,21.79,998.0,67.05,5,8,0,0,1,0,1,1,0,0,0,0
100000,17.3,993.0,60.0,5,24,0,0,1,1,0,1,0,1,0,0
60000,17.92,1086.0,62.1,5,7,0,0,1,1,0,1,0,0,0,0
93000,17.0,1197.0,80.0,5,9,0,0,1,1,0,1,0,1,0,0
70000,22.32,1582.0,126.32,5,8,1,0,0,1,0,1,0,0,0,1
50000,22.74,796.0,47.3,5,5,0,0,1,1,0,1,0,0,0,0
16000,17.0,1956.0,167.67,5,1,1,0,0,0,0,1,0,0,0,0
37000,20.85,1197.0,83.14,5,5,0,0,1,1,0,1,0,0,0,0
41000,18.6,1197.0,81.83,5,6,0,0,1,1,0,1,0,0,0,0
30000,15.63,1499.0,110.4,5,6,0,0,1,1,0,0,0,0,0,0
9000,13.6,1999.0,177.0,5,4,1,0,0,0,0,0,0,0,0,0
69779,22.0,1197.0,81.8,5,3,0,0,1,0,0,0,0,0,0,0
1000,13.68,2393.0,147.51,7,1,1,0,0,1,0,0,0,0,0,0
120000,18.49,1493.0,100.0,7,4,1,0,0,1,0,1,0,0,0,0
110000,17.6,1496.0,88.73,5,10,0,0,1,1,0,1,0,0,0,0
60000,19.3,1248.0,73.9,5,9,1,0,0,1,0,1,0,0,0,0
60000,19.01,1461.0,108.45,5,6,1,0,0,1,0,1,0,0,0,0
5000,23.01,999.0,67.0,5,3,0,0,1,1,0,1,0,0,0,0
40200,21.0,1498.0,74.96,7,6,1,0,0,0,0,1,0,0,0,0
100000,22.32,1582.0,126.32,5,9,1,0,0,1,0,1,0,1,0,0
28800,18.6,1197.0,81.83,5,7,0,0,1,0,0,1,0,0,0,0
120000,19.3,1248.0,73.9,5,11,1,0,0,1,0,1,0,1,0,0
82000,25.8,1498.0,98.6,5,6,1,0,0,1,0,1,0,0,0,0
20000,28.4,1248.0,74.02,5,4,1,0,0,1,0,1,0,0,0,0
142000,15.96,2523.0,62.1,7,10,1,0,0,1,0,1,0,0,0,0
144000,10.9,796.0,32.8,5,14,0,1,0,1,0,1,0,1,0,0
70000,15.4,1997.0,120.0,7,6,1,0,0,1,0,1,0,0,0,0
20000,19.44,999.0,75.0,5,2,0,0,1,1,0,1,0,0,0,0
60000,20.77,1248.0,88.8,7,7,1,0,0,1,0,1,0,1,0,0
56290,24.0,1186.0,73.97,5,4,1,0,0,0,0,1,0,0,0,0
40000,16.02,1373.0,93.7,7,6,0,0,1,1,0,1,0,1,0,0
46737,22.74,796.0,47.3,5,5,0,0,1,1,0,1,0,0,0,0
69779,22.0,1197.0,81.8,5,3,0,0,1,0,0,0,0,0,0,0
25000,20.3,998.0,68.05,5,3,0,0,1,1,0,1,0,0,0,0
40000,20.36,1197.0,78.9,5,8,0,0,1,1,0,1,0,0,0,0
5500,15.37,1196.0,73.0,7,2,0,0,1,1,0,1,0,0,0,0
15000,22.0,1197.0,81.8,5,2,0,0,1,1,0,0,0,0,0,0
120000,15.1,2179.0,152.87,7,1,1,0,0,1,0,1,0,0,0,0
170000,12.8,2494.0,102.0,8,12,1,0,0,1,0,1,0,0,0,1
110000,14.1,2179.0,147.94,7,6,1,0,0,1,0,1,0,0,0,0
126000,12.05,2179.0,120.0,7,7,1,0,0,1,0,1,0,0,0,0
35000,20.51,998.0,67.0,5,4,0,0,1,1,0,0,0,0,0,0
7800,20.3,1086.0,68.0,5,3,0,0,1,1,0,1,0,0,0,0
168000,18.9,998.0,67.1,5,15,0,0,1,1,0,1,0,1,0,0
110000,26.6,998.0,58.16,5,4,0,0,0,1,0,1,0,0,0,0
60000,24.3,1248.0,88.5,5,4,1,0,0,1,0,1,0,0,0,0
80000,22.7,799.0,53.0,5,4,0,0,1,1,0,1,0,0,0,0
74000,13.7,1948.0,68.0,7,15,1,0,0,1,0,1,0,0,0,0
50000,22.7,799.0,53.64,5,3,0,0,1,1,0,1,0,0,0,0
150000,13.0,2982.0,168.5,7,7,1,0,0,1,0,1,0,0,0,0
40000,21.38,1396.0,88.7,5,4,1,0,0,1,0,1,0,0,0,0
5000,19.5,1199.0,88.76,5,2,0,0,1,1,0,1,0,0,0,0
80000,20.63,1198.0,67.0,5,4,0,0,1,1,0,1,0,1,0,0
10000,21.4,1197.0,83.1,5,2,0,0,1,1,0,1,0,0,0,0
40000,22.54,1396.0,88.73,5,6,1,0,0,1,0,1,0,0,0,0
18000,19.6,1461.0,108.45,5,3,1,0,0,0,0,1,0,0,0,0
60000,19.7,796.0,46.3,5,17,0,0,1,1,0,1,0,0,0,0
70000,25.2,1248.0,74.0,5,5,1,0,0,1,0,1,0,0,0,0
70000,25.44,936.0,57.6,5,9,1,0,0,1,0,1,0,1,0,0
70000,24.4,1120.0,71.0,5,6,1,0,0,1,0,1,0,0,0,0
63063,18.9,1197.0,82.0,5,6,0,0,1,0,0,0,0,0,0,0
6000,23.95,998.0,67.05,5,1,0,0,1,1,0,1,0,0,0,0
80000,20.14,1498.0,88.8,5,6,1,0,0,1,0,1,0,0,0,0
151000,13.5,2477.0,175.56,7,8,1,0,0,0,0,1,0,0,0,0
50000,22.0,1197.0,81.8,5,3,0,0,1,1,0,0,0,0,0,0
5000,21.7,998.0,67.0,5,2,0,0,1,1,0,0,0,0,0,0
90000,18.9,998.0,67.1,5,8,0,0,1,1,0,1,0,0,0,0
100000,15.1,1196.0,73.0,7,8,0,0,1,1,0,1,0,0,0,1
120000,15.3,2956.0,83.83,7,8,1,0,0,1,0,1,0,1,0,0
30000,23.0,1498.0,98.96,5,2,1,0,0,1,0,1,0,0,0,0
11500,21.21,1197.0,81.8,5,2,0,0,1,1,0,1,0,0,0,0
38817,27.39,1248.0,74.0,5,3,1,0,0,0,0,1,0,0,0,0
21000,16.78,1995.0,190.0,5,2,1,0,0,0,0,0,0,0,0,0
15000,15.42,1405.0,70.0,7,7,1,0,0,1,0,1,0,0,0,0
14000,22.54,1396.0,88.73,5,4,1,0,0,1,0,1,0,0,0,0
76000,22.9,1248.0,74.0,5,8,1,0,0,1,0,1,0,1,0,0
30030,18.6,1197.0,81.83,5,4,0,0,1,0,0,1,0,0,0,0
